Date,Open
3/11/2016 16:00:00,36.26
3/18/2016 16:00:00,37.25
3/24/2016 16:00:00,37.7
4/1/2016 16:00:00,37.81
4/8/2016 16:00:00,38.48
4/15/2016 16:00:00,38.27
4/22/2016 16:00:00,39.01
4/29/2016 16:00:00,36.77
5/6/2016 16:00:00,35.6
5/13/2016 16:00:00,36.34
5/20/2016 16:00:00,36.22
5/27/2016 16:00:00,36
6/3/2016 16:00:00,37.44
6/10/2016 16:00:00,36.92
6/17/2016 16:00:00,36.49
6/24/2016 16:00:00,35.52
7/1/2016 16:00:00,34.12
7/8/2016 16:00:00,35.25
7/15/2016 16:00:00,35.97
7/22/2016 16:00:00,36.9
7/29/2016 16:00:00,37.88
8/5/2016 16:00:00,39.33
8/12/2016 16:00:00,40.3
8/19/2016 16:00:00,40.36
8/26/2016 16:00:00,39.93
9/2/2016 16:00:00,39.65
9/9/2016 16:00:00,39.92
9/16/2016 16:00:00,39.23
9/23/2016 16:00:00,40.06
9/30/2016 16:00:00,40.49
10/7/2016 16:00:00,40.13
10/14/2016 16:00:00,40.2
10/21/2016 16:00:00,40.3
10/28/2016 16:00:00,41.5
11/4/2016 16:00:00,41.12
11/11/2016 16:00:00,39.75
11/18/2016 16:00:00,38.59
11/25/2016 16:00:00,38.91
12/2/2016 16:00:00,38.92
12/9/2016 16:00:00,38.5
12/16/2016 16:00:00,40.24
12/23/2016 16:00:00,40.46
12/30/2016 16:00:00,40.43
1/6/2017 16:00:00,40.03
1/13/2017 16:00:00,41.32
1/20/2017 16:00:00,41.5
1/27/2017 16:00:00,41.58
2/3/2017 16:00:00,41.85
2/10/2017 16:00:00,41.05
2/17/2017 16:00:00,41.89
2/24/2017 16:00:00,42.4
3/3/2017 16:00:00,42.25
3/10/2017 16:00:00,42.34
3/17/2017 16:00:00,43.28
3/24/2017 16:00:00,43.47
3/31/2017 16:00:00,41.4
4/7/2017 16:00:00,42.44
4/13/2017 16:00:00,42.08
4/21/2017 16:00:00,42.07
4/28/2017 16:00:00,43.42
5/5/2017 16:00:00,46.21
5/12/2017 16:00:00,47.37
5/19/2017 16:00:00,47.76
5/26/2017 16:00:00,47.85
6/2/2017 16:00:00,49.63
6/9/2017 16:00:00,49.89
6/16/2017 16:00:00,47.94
6/23/2017 16:00:00,48.48
6/30/2017 16:00:00,49.5
7/7/2017 16:00:00,46.66
7/14/2017 16:00:00,47.1
7/21/2017 16:00:00,48.82
7/28/2017 16:00:00,49.71
8/4/2017 16:00:00,48
8/11/2017 16:00:00,47.38
8/18/2017 16:00:00,46.95
8/25/2017 16:00:00,46.29
9/1/2017 16:00:00,46.59
9/8/2017 16:00:00,47.34
9/15/2017 16:00:00,47.36
9/22/2017 16:00:00,46.75
9/29/2017 16:00:00,46.97
10/6/2017 16:00:00,48.78
10/13/2017 16:00:00,49.75
10/20/2017 16:00:00,50.48
10/27/2017 16:00:00,50.26
11/3/2017 16:00:00,51.46
11/10/2017 16:00:00,52.46
11/17/2017 16:00:00,52.04
11/24/2017 13:00:00,51.8
12/1/2017 16:00:00,52.93
12/8/2017 16:00:00,51.39
12/15/2017 16:00:00,52.56
12/22/2017 16:00:00,53.82
12/29/2017 16:00:00,53.43
1/5/2018 16:00:00,52.65
1/12/2018 16:00:00,55.55
1/19/2018 16:00:00,57.02
1/26/2018 16:00:00,57.19
2/2/2018 16:00:00,59.4
2/9/2018 16:00:00,55.03
2/16/2018 16:00:00,52.83
2/23/2018 16:00:00,54.64
3/2/2018 16:00:00,56.59
3/9/2018 16:00:00,53.91
3/16/2018 16:00:00,58.25
3/23/2018 16:00:00,55.89
3/29/2018 16:00:00,52.53
4/6/2018 16:00:00,51.38
4/13/2018 16:00:00,51
4/20/2018 16:00:00,52.28
4/27/2018 16:00:00,54.15
5/4/2018 16:00:00,51.72
5/11/2018 16:00:00,52.69
5/18/2018 16:00:00,55.28
5/25/2018 16:00:00,53.95
6/1/2018 16:00:00,53.8
6/8/2018 16:00:00,56.93
6/15/2018 16:00:00,56.65
6/22/2018 16:00:00,57.63
6/29/2018 16:00:00,57.75
7/6/2018 16:00:00,55.77
7/13/2018 16:00:00,58
7/20/2018 16:00:00,60.19
7/27/2018 16:00:00,59.78
8/3/2018 16:00:00,62.25
8/10/2018 16:00:00,62.08
8/17/2018 16:00:00,62.56
